state,state_abb,fips,year,year_frac,law_class,law_class_subtype,handguns_or_long_guns,age_for_minimum_age_laws,length_of_waiting_period_days_handguns,additional_context_and_notes,discrepancies,law_id
Alaska,AK,02,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,"Prior law prohibiting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms."". Replaced by  § 11.61.220 in 1978, which says ""a person commits the crime of misconduct involving weapons in the third degree if he‚…knowingly possesses a deadly weapon other than an ordinary pocket knife, that is concealed on his person.",NA,AK1002
Alaska,AK,02,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,AK1003
Alaska,AK,02,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,"Permitting system maintained for residents seeking reciprocity with other states or ""those who seek to be exempt from background checks when purchasing additional firearms"" (""Concealed Weapons Permitting,"" Giffords Law Center to Prevent Gun Violence, undated).",NA,AK1004
Alaska,AK,02,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,See 2006 S.B. No. 200 Ch. 68.,NA,AK1005
Alaska,AK,02,2024,0,castle doctrine,expanded 2,handgun and long gun,NA,NA,Catagorized as expanded 2 because removes duty to retreat in instances where a person is a guest at a residence,NA,AK1006
Alaska,AK,02,2024,1,minimum age,youth possession,long gun,16,NA,NA,NA,AK1009
Alaska,AK,02,2024,1,minimum age,purchase and sale,long gun,18,NA,NA,NA,AK1011
Alaska,AK,02,2024,1,minimum age,youth possession,handgun,16,NA,NA,NA,AK1015
Alaska,AK,02,2024,1,minimum age,purchase and sale,handgun,18,NA,NA,NA,AK1016
Alaska,AK,02,2024,1,prohibited possessor,dvro : expanded,handgun and long gun,NA,NA,"Called the ""Domestic Violence Prevention and Victims Protection Act of 1996"" : Alaska law provides that protective orders issued after notice and a hearing against a household member for victims of domestic violence may direct the abuser to surrender any firearm owned or possessed if the respondent was in actual possession of or used a firearm during a domestic violence incident. ""House hold"" member is defined broadly to include former and current dating partners,  co-habitants, and family members. This law allows for the judges discretion about whether to bar the defendant from owning, possessing, or purchasing firearms. This law includes a discretionary firearm surrender requirement.",NA,AK1023
Alaska,AK,02,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,AK1030
Alaska,AK,02,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,AK1031
Alaska,AK,02,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AK1040
Alaska,AK,02,2024,0,waiting period,federal,handgun,NA,5,"In general, the waiting period applies only in states without an acceptable alternate system of conducting background checks on handgun purchasers. The interim provisions of the Brady Law became effective on February 28, 1994, and ceased to apply on November 30, 1998.",NA,AK1041
Alaska,AK,02,2024,1,waiting period,federal,handgun,NA,NA,NA,NA,AK1042
Alaska,AK,02,2024,1,firearm removal at scene of domestic violence,authorized,handgun and long gun,NA,NA,NA,NA,AK1044
Alaska,AK,02,2024,1,local laws preempted by state,comprehensive,handgun and long gun,NA,NA,"Exceptions: (b) Municipalities may enact and enforce ordinances

(1) that are identical to state law and that have the same penalty as provided for by state law;

(2) restricting the discharge of firearms in any portion of their respective jurisdictions where there is a reasonable likelihood that people, domestic animals, or property will be jeopardized; ordinances enacted or enforced under this paragraph may not abridge the right of the individual guaranteed by art. I, sec. 19, Constitution of the State of Alaska, to bear arms in defense of self or others;

(3) restricting the areas in their respective jurisdictions in which firearms or knives may be sold; a business selling firearms or knives may not be treated more restrictively than other businesses located within the same zone; and

(4) prohibiting the possession of firearms or knives in the restricted access area of municipal government buildings; the municipal assembly shall post notice of the prohibition against possession of firearms or knives at each entrance to the restricted access area.",NA,AK1047
Alaska,AK,02,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,AK1050
Alaska,AK,02,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AK1051
Alaska,AK,02,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AK1053
Alaska,AK,02,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,AK1054
Alaska,AK,02,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,AK1055
Alaska,AK,02,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,AK1056
Alaska,AK,02,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,NA,NA,AK1057
Alabama,AL,01,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,"Disagreement between experts here. 1975 law can be read as ""may issue,"" but was enforced as ""shall issue."" Vernick and Hepburn (2003) characterize as ""may issue,"" but most consider it ""shall issue"" since the 1970s. 2006 law changed wording to ""may issue,"" but that didn't change the enforcement. See Ala. Code § 13-6-155 for 1975 version of the law.",NA,AL1003
Alabama,AL,01,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AL1004
Alabama,AL,01,2024,1,castle doctrine,stand your ground,handgun and long gun,NA,NA,NA,NA,AL1005
Alabama,AL,01,2024,1,dealer license,state license requirement,handgun,NA,NA,"See 1940 Law, tit. 14, Ch. 40, Art. 2.",NA,AL1007
Alabama,AL,01,2024,1,minimum age,purchase and sale,handgun,18,NA,"2015 statutory amendments added exceptions listed in Ala. Code § 13A-11-72(f) & (g) include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",Not included on the Giffords Law Center to Prevent Gun Violence (undated) website.,AL1011
Alabama,AL,01,2024,1,minimum age,youth possession,handgun,18,NA,"Restricted to pistols only. Exceptions include hunting, target shooting, self defense against home intruders. Since 2015, unclear what definition of ""minor"" is in Alabama for purposes of gun laws.",NA,AL1012
Alabama,AL,01,2024,0,registration,required,handgun,NA,NA,NA,NA,AL1015
Alabama,AL,01,2024,1,registration,required,handgun,NA,NA,NA,NA,AL1016
Alabama,AL,01,2024,0,waiting period,general,handgun,NA,2,"""Alabama has no law imposing a waiting period prior to purchase of a firearm."" [https://giffords.org/lawcenter/state-laws/waiting-periods-in-alabama/]",NA,AL1018
Alabama,AL,01,2024,1,waiting period,general,handgun,NA,NA,"Contains provision that if the Brady Handgun Violence Prevention Act's instant background check requirement is repealed or rescinded, then 13a-11-77 would come back into effect.",NA,AL1019
Alabama,AL,01,2024,1,prohibited possessor,dvro,handgun and long gun,NA,NA,"The restraining order must ""explicitly prohibits the use, attempted use, or threatened use of physical force against the qualified individual or child that would reasonably be expected to cause bodily injury"" for the firearm part of the law to go into effect and the person must be a spouse, former spouse, be cohabitating or previously cohabitated, or the child of anyone who fits this description in relation to the perpetrator for the gun law to go into effect.",NA,AL1023
Alabama,AL,01,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",NA,AL1024
Alabama,AL,01,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",NA,AL1025
Alabama,AL,01,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,AL1031
Alabama,AL,01,2024,1,background checks,sales from dealer : federal,handgun and long gun,NA,NA,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,NA,AL1032
Alabama,AL,01,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AL1037
Alabama,AL,01,2024,1,local laws preempted by state,comprehensive - punitive,handgun and long gun,NA,NA,"Exceptions: (g) This section shall not be construed to prevent any of the following:

(1) A duly organized law enforcement agency of a political subdivision from promulgating and enforcing rules pertaining to firearms, ammunition, or firearm accessories that it issues to or that are used by the political subdivision's peace officers in the course of their official duties.

(2) An employer from regulating or prohibiting an employee's carrying or possession of firearms, firearm accessories, or ammunition during and in the course of the employee's official duties.

(3) A prosecutor, court or administrative law judge from hearing and resolving a case or controversy or issuing an opinion or order on a matter within its jurisdiction.

(4) The enactment or enforcement of a generally applicable zoning or business ordinance that includes firearms businesses along with other businesses, provided that an ordinance designed or enforced effectively to restrict or prohibit the sale, purchase, transfer, manufacture, or display of firearms, ammunition, or firearm accessories that is otherwise lawful under the laws of this state is in conflict with this section and is void.

(5) A political subdivision from enacting and enforcing rules of operation and use for any firearm range owned or operated by the political subdivision.

(6) A political subdivision from sponsoring or conducting any firearm-related competition or educational or cultural program and from enacting and enforcing rules for participation in or attendance at such program, provided that nothing in this section authorizes or permits a political subdivision to offer remuneration for the surrender or transfer of a privately owned firearm to the political subdivision or another party as a method of reducing the number of privately owned firearms within the political subdivision.

(7) Any official of a political subdivision, a sheriff, or other law enforcement officer with appropriate authority and jurisdiction from enforcing any law enacted by the Legislature.

(8) A sheriff of a county from acting on an application for a permit under Section 13A-11-75.

(9) A political subdivision from leasing public property to another person or entity for a gun show or other firearm-related event on terms agreeable to both parties.

(10) The adoption or enforcement by a county or municipality of ordinances which make the violation of a state firearm law a violation of an ordinance, provided that the elements of the local ordinance may not differ from the state firearm law, nor may the local ordinance impose a higher penalty than what is imposed under the state firearm law.

(11) A municipality from regulating the discharge of firearms within the limits of the municipality or a county from exercising any authority it has under law, to regulate the discharge of firearms within the jurisdiction of the county. The discharge of a firearm in defense of one's self or family or in defense of one's property may not be construed to be a violation of state law or any ordinance or rule of a political subdivision of this state.",NA,AL1042
Alabama,AL,01,2024,0,firearm sales restrictions,ban on high capacity magazines – federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AL1046
Alabama,AL,01,2024,1,minimum age,minimum age purchase - federal,long gun,21,NA,NA,NA,AL1047
Alabama,AL,01,2024,1,minimum age,minimum age purchase - federal,handgun,18,NA,NA,NA,AL1048
Alabama,AL,01,2024,1,minimum age,minimum age possession - federal,handgun,18,NA,NA,NA,AL1049
Alabama,AL,01,2024,1,prohibited possessor,violent misdemeanor,handgun and long gun,NA,NA,NA,NA,AL1050
Alabama,AL,01,2024,0,prohibited possessor,violent misdemeanor limited,handgun,NA,NA,Month and day could not be confirmed,NA,AL1051
Alabama,AL,01,2024,1,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,NA,NA,NA,NA,AL1053
Alabama,AL,01,2024,0,firearm sales restrictions,assault weapons ban — Federal,handgun and long gun,NA,NA,"This subtitle and the amendments made by this subtitle—
<< 18 USCA § 921 NOTE >>
(1) shall take effect on the date of the enactment of this Act; and
(2) are repealed effective as of the date that is 10 years after that date.",NA,AL1054
Arkansas,AR,05,2024,0,carrying a concealed weapon (ccw),prohibited,handgun,NA,NA,NA,NA,AR1002
Arkansas,AR,05,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,AR1003
Arkansas,AR,05,2024,0,castle doctrine,traditional,handgun and long gun,NA,NA,NA,NA,AR1004
Arkansas,AR,05,2024,1,minimum age,youth possession,handgun,18,NA,NA,NA,AR1007
Arkansas,AR,05,2024,1,minimum age,purchase and sale,long gun,18,NA,"""Minor"" defined as under 18 by Ark. Code Ann. § 5-73-101.",NA,AR1010
Arkansas,AR,05,2024,1,minimum age,purchase and sale,handgun,18,NA,"""Minor"" defined as under 18 by Ark. Code Ann. § 5-73-101.",NA,AR1014
Arkansas,AR,05,2024,1,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,NA,NA,NA,NA,AR1020
Arkansas,AR,05,2024,1,prohibited possessor,mental health : committed to mh facility,handgun and long gun,NA,NA,NA,NA,AR1021
Arkansas,AR,05,2024,0,carrying a concealed weapon (ccw),shall issue,handgun,NA,NA,NA,NA,AR1025
Arkansas,AR,05,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),NA,AR1030
Arkansas,AR,05,2024,0,background checks,sales from dealer : federal,handgun,NA,NA,"Most states voluntarily complied with the mandate, so the effects of the ruling were negligible.  Only Ohio and Arkansas stopped performing background checks.",NA,AR1031
Arkansas,AR,05,2024,1,background checks,sales from dealer : federal,handgun,NA,NA,"When NICS came online, the issues in the Printz ruling were no longer relevant.",NA,AR1032
