category,label,law_class,law_class_subtype,handguns_or_long_guns,points
"use, storage, and carrying",castle doctrine laws,castle doctrine,stand your ground,handgun and long gun,1
"use, storage, and carrying",castle doctrine laws,castle doctrine,expanded 1,handgun and long gun,2
"use, storage, and carrying",castle doctrine laws,castle doctrine,expanded 2,handgun and long gun,3
"use, storage, and carrying",castle doctrine laws,castle doctrine,traditional,handgun and long gun,4
"use, storage, and carrying",child-access prevention laws or safe-storage laws,child access laws,"intentional, reckless, or knowing provision",handgun,1
"use, storage, and carrying",child-access prevention laws or safe-storage laws,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,1
"use, storage, and carrying",child-access prevention laws or safe-storage laws,child access laws,negligent storage,handgun and long gun,2
"use, storage, and carrying",child-access prevention laws or safe-storage laws,child access laws,safe storage,handgun and long gun,3
"use, storage, and carrying",concealed carry laws,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,1
"use, storage, and carrying",concealed carry laws,carrying a concealed weapon (ccw),shall issue,handgun,2
"use, storage, and carrying",concealed carry laws,carrying a concealed weapon (ccw),may issue,handgun,3
"use, storage, and carrying",concealed carry laws,carrying a concealed weapon (ccw),prohibited,handgun,4
sales and transfers,dealer licensure,dealer license,state license requirement,handgun,1
sales and transfers,dealer licensure,dealer license,state license requirement,handgun and long gun,1
sales and transfers,dealer licensure,dealer license,state license requirement,long gun,1
"ownership, purchase, and possession",domestic violence restraining orders,prohibited possessor,dvro,handgun and long gun,1
"ownership, purchase, and possession",domestic violence restraining orders,prohibited possessor,dvro : expanded,handgun and long gun,2
"ownership, purchase, and possession",domestic violence restraining orders,prohibited possessor,dvro ex parte,handgun and long gun,3
"ownership, purchase, and possession",domestic violence restraining orders,prohibited possessor,dvro ex parte : expanded,handgun and long gun,4
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility : voluntary,handgun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility,handgun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility : outpatient,handgun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility,handgun and long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility : outpatient,handgun and long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility : voluntary,handgun and long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,"mental health : diagnosed with significant behavioral, emotional or mental disorder",handgun and long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : determined by police to be mentally incompetent/incapacitated/disabled,handgun and long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility,long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : committed to mh facility : outpatient,long gun,1
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun,2
"ownership, purchase, and possession",expanded mental health prohibitions,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,2
"ownership, purchase, and possession",extreme-risk protection orders,prohibited possessor,erpo,handgun and long gun,1
"ownership, purchase, and possession",extreme-risk protection orders,prohibited possessor,erpo : ex parte,handgun and long gun,2
"ownership, purchase, and possession",extreme-risk protection orders,prohibited possessor,erpo : ex parte expanded,handgun and long gun,3
"ownership, purchase, and possession",extreme-risk protection orders,prohibited possessor,erpo : expanded,handgun and long gun,4
sales and transfers,firearm removal,firearm removal at scene of domestic violence,authorized,handgun and long gun,1
sales and transfers,firearm removal,firearm removal at scene of domestic violence,required,handgun and long gun,2
sales and transfers,firearm safety training requirements,safety training required,to purchase : assault rifles,long gun,1
sales and transfers,firearm safety training requirements,safety training required,to purchase,handgun,2
sales and transfers,firearm safety training requirements,safety training required,to purchase,handgun and long gun,2
