AREA_TITLE,NAICS_TITLE,OCC_TITLE,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
Alabama,Information,All Occupations,77490,31000,43890,63020,95630,152460
Alabama,Information,Computer and Mathematical Occupations,109620,46570,71430,104670,145210,173930
Alabama,Information,Data Scientists,111890,64620,83860,121640,129260,154660
Alaska,Information,All Occupations,87980,38800,57650,88100,103730,132520
Alaska,Information,Computer and Mathematical Occupations,99360,50490,84460,102880,105710,134120
Arizona,Information,All Occupations,91730,35680,48510,76640,123280,168010
Arizona,Information,Computer and Mathematical Occupations,104240,48740,62760,97380,133370,170760
Arizona,Information,Database Administrators,102440,84450,92790,104280,104280,126290
Arizona,Information,Database Architects,168550,114150,127230,189190,204000,204000
Arizona,Information,Data Scientists,102040,48520,73690,105310,126820,147920
Arkansas,Information,All Occupations,65810,27590,36110,52290,82670,123860
Arkansas,Information,Computer and Mathematical Occupations,82700,29750,45710,75490,108490,149440
California,Information,All Occupations,152700,49350,80300,133440,210350,285970
California,Information,Computer and Mathematical Occupations,179780,87380,131010,176540,217670,275870
California,Information,Computer and Information Research Scientists,226630,138720,186950,218560,292260,310610
California,Information,Database Administrators,127940,84000,102590,112880,149820,202860
California,Information,Database Architects,182020,97380,143950,179910,216350,269560
California,Information,Statisticians,185640,71810,124810,215640,255100,265290
California,Information,Data Scientists,186150,102600,146000,178430,219540,274180
Colorado,Information,All Occupations,118800,48310,73240,103610,159240,206650
Colorado,Information,Computer and Mathematical Occupations,136530,74410,98420,131670,167250,207810
Colorado,Information,Database Administrators,132250,101220,108830,134590,152100,162230
Colorado,Information,Database Architects,162850,122260,134990,158490,184780,211510
Colorado,Information,Data Scientists,129840,76510,99470,120190,154750,209500
Connecticut,Information,All Occupations,111530,41600,60330,88250,138020,198880
Connecticut,Information,Computer and Mathematical Occupations,116030,59640,80850,108960,144730,178210
Connecticut,Information,Database Administrators,95400,74310,78570,82920,120220,131230
Connecticut,Information,Data Scientists,78410,39330,39330,50270,79030,153340
Delaware,Information,All Occupations,91790,34650,44390,77810,119660,170120
Delaware,Information,Computer and Mathematical Occupations,137030,61900,81650,122880,217280,232750
Delaware,Information,Data Scientists,229500,232750,232750,232750,232750,232750
District of Columbia,Information,All Occupations,131890,56690,80800,107860,164040,214640
District of Columbia,Information,Computer and Mathematical Occupations,142260,82050,98820,133290,174480,209470
District of Columbia,Information,Data Scientists,187150,110150,174470,184540,226480,264230
Florida,Information,All Occupations,95220,37490,49000,76510,123390,171660
Florida,Information,Computer and Mathematical Occupations,120080,52370,76810,107780,162280,207290
Florida,Information,Computer and Information Research Scientists,136860,62470,63630,100600,208170,215590
Florida,Information,Database Administrators,116560,69990,81230,125000,139210,157170
Florida,Information,Database Architects,136410,95470,97700,129000,162160,202810
Florida,Information,Data Scientists,127810,81170,95910,127450,132220,165150
Georgia,Information,All Occupations,102550,37790,57500,90340,133730,173340
Georgia,Information,Computer and Mathematical Occupations,115900,57480,80350,110360,149110,171430
Georgia,Information,Database Administrators,118880,75200,102070,122530,139160,162050
Georgia,Information,Database Architects,162300,125170,138360,163380,187410,187410
Georgia,Information,Data Scientists,103730,66580,80300,90970,123930,150850
Hawaii,Information,All Occupations,93880,33370,48700,75670,101090,151980
Hawaii,Information,Computer and Mathematical Occupations,118060,51500,71440,104810,151820,245200
Idaho,Information,All Occupations,82630,32840,45460,64680,96770,162340
Idaho,Information,Computer and Mathematical Occupations,102960,49930,67550,87720,140830,165510
Illinois,Information,All Occupations,99430,36820,56060,81770,130200,173650
Illinois,Information,Computer and Mathematical Occupations,117300,59000,78980,106460,154170,176830
Illinois,Information,Database Administrators,107120,36830,80510,119890,132660,148780
Illinois,Information,Database Architects,131890,92790,108280,131420,141240,187520
Illinois,Information,Data Scientists,142260,83180,123130,141430,167660,184070
Illinois,Information,"Mathematical Science Occupations, All Other",100430,57790,69720,79820,147070,161680
Indiana,Information,All Occupations,73330,28840,39780,60040,88710,130260
Indiana,Information,Computer and Mathematical Occupations,95980,47290,63860,85570,122520,150220
Indiana,Information,Database Architects,137530,99260,115900,137950,163430,169750
Indiana,Information,Data Scientists,106870,73130,84900,97490,134470,134470
Iowa,Information,All Occupations,71010,30030,42730,59520,83720,126960
Iowa,Information,Computer and Mathematical Occupations,91420,47330,60610,80510,110640,151530
Iowa,Information,Database Administrators,113440,73580,73730,76200,164630,169240
Iowa,Information,Data Scientists,65530,47120,53980,66910,82050,83650
Kansas,Information,All Occupations,84760,32710,45570,64930,106990,159990
Kansas,Information,Computer and Mathematical Occupations,100460,52060,73160,94950,128970,158970
Kansas,Information,Database Architects,114670,75140,91730,101090,135100,162980
Kentucky,Information,All Occupations,74060,30520,43240,61570,87360,130910
Kentucky,Information,Computer and Mathematical Occupations,111680,47900,68000,97710,132540,185040
Kentucky,Information,Data Scientists,92190,65590,67120,84510,107420,140390
Louisiana,Information,All Occupations,75320,29020,41580,61300,92160,128910
Louisiana,Information,Computer and Mathematical Occupations,112980,47250,56490,89210,128210,149290
Louisiana,Information,Data Scientists,122140,107840,125230,128210,128210,130530
Maine,Information,All Occupations,83820,37190,48140,70880,99990,160340
Maine,Information,Computer and Mathematical Occupations,115900,56070,79300,105380,158690,185130
Maine,Information,Data Scientists,112010,71510,100060,119870,127510,135290
Maryland,Information,All Occupations,105700,40400,60170,92720,134490,181020
Maryland,Information,Computer and Mathematical Occupations,124010,57500,80150,116990,160070,205770
Maryland,Information,Database Administrators,121470,77210,123730,123730,123730,164270
Maryland,Information,Database Architects,161080,117500,133630,153790,190990,220910
Maryland,Information,Data Scientists,153100,92510,107870,138200,205820,227250
Massachusetts,Information,All Occupations,135560,50400,78400,124920,172630,229870
Massachusetts,Information,Computer and Mathematical Occupations,154550,81400,110900,158300,178010,214640
Massachusetts,Information,Computer and Information Research Scientists,205550,123710,124120,169840,203470,461270
Massachusetts,Information,Database Administrators,149760,124970,137020,160290,162010,166900
Massachusetts,Information,Database Architects,191310,155260,162780,204990,220910,220910
Massachusetts,Information,Data Scientists,151060,100660,123440,138530,173820,216930
Michigan,Information,All Occupations,84010,33530,47200,72700,104260,157110
Michigan,Information,Computer and Mathematical Occupations,102400,48960,63230,96300,130730,171000
Michigan,Information,Database Administrators,80990,39970,50680,73370,107410,120710
Michigan,Information,Database Architects,146370,99630,114910,141140,175260,208490
Michigan,Information,Data Scientists,99610,51240,64420,96620,125220,161030
Minnesota,Information,All Occupations,89130,36720,49340,74260,106360,165380
Minnesota,Information,Computer and Mathematical Occupations,108670,53240,73970,101340,147650,167070
Minnesota,Information,Database Administrators,118990,72430,103410,128060,133570,170330
Minnesota,Information,Database Architects,163450,123610,142450,167350,172390,206320
Minnesota,Information,Data Scientists,127400,48870,56450,151070,179640,199520
Mississippi,Information,All Occupations,58870,25770,35270,48470,70840,97260
Mississippi,Information,Computer and Mathematical Occupations,72130,36580,45980,63120,89220,115700
Missouri,Information,All Occupations,90000,36270,47880,77190,123740,167180
Missouri,Information,Computer and Mathematical Occupations,113020,57490,77600,106600,135210,167580
Missouri,Information,Database Administrators,111470,76230,99110,107050,131050,146990
Missouri,Information,Database Architects,108880,66830,73360,115420,137560,162430
Missouri,Information,Data Scientists,98880,59480,77090,97670,127500,134550
Montana,Information,All Occupations,76220,31840,44330,62930,92950,134990
Montana,Information,Computer and Mathematical Occupations,111660,54230,69120,101460,137520,190750
Montana,Information,Data Scientists,69910,69110,69110,69990,70990,70990
Nebraska,Information,All Occupations,80970,37230,47140,66710,102680,138980
Nebraska,Information,Computer and Mathematical Occupations,91780,49030,61050,83190,112430,137580
Nebraska,Information,Database Administrators,116160,53990,82270,137400,141680,160350
Nebraska,Information,Database Architects,131750,94870,104360,134250,161650,171940
Nebraska,Information,Data Scientists,100380,76130,79690,100010,106550,129370
Nevada,Information,All Occupations,92910,34310,48200,78240,106230,173710
Nevada,Information,Computer and Mathematical Occupations,119170,56070,78340,99250,152870,200190
Nevada,Information,Database Architects,191560,169040,189740,200190,200190,205600
New Hampshire,Information,All Occupations,102530,37130,53750,87110,131050,185900
New Hampshire,Information,Computer and Mathematical Occupations,126830,59850,80730,127260,164940,203340
New Hampshire,Information,Data Scientists,113910,77020,91940,128610,128610,128610
New Jersey,Information,All Occupations,127040,46840,74610,105340,168400,216320
New Jersey,Information,Computer and Mathematical Occupations,142480,78580,98380,134900,172990,214750
New Jersey,Information,Computer and Information Research Scientists,208100,140300,170890,170890,297000,321070
New Jersey,Information,Database Administrators,141650,92970,116010,147190,165980,174890
New Jersey,Information,Database Architects,120530,86780,94730,98470,141220,168010
New Jersey,Information,Data Scientists,144690,101420,110180,143440,167450,208690
New Mexico,Information,All Occupations,69160,28920,41650,54620,82020,127930
