Year,Category,Subcategory,Sub-subcategory,Total,"Food insecure-1,000",Food insecure-percent,Food insecure-share,"Very low food security-1,000",Very low food security-percent,Very low food security-share
2024,All households,,,134062,18341,13.7,100,7202,5.4,100
2024,All households,Employment,Full-time,86983,10406,12,56.7,3777,4.3,52.4
2024,All households,Employment,Retired,31097,2767,8.9,15.1,956,3.1,13.3
2024,All households,Employment,Part-time non-economic reasons,6024,1208,20.1,6.6,487,8.1,6.8
2024,All households,Employment,Part-time economic reasons,971,404,41.6,2.2,214,22,3
2024,All households,Employment,Unemployed,1789,809,45.2,4.4,327,18.3,4.5
2024,All households,Employment,Disabled,4388,1946,44.3,10.6,1072,24.4,14.9
2024,All households,Employment,Not in labor force,2809,799,28.5,4.4,370,13.2,5.1
2024,All households,Education,Less than high school,6036,1835,30.4,10,795,13.2,11
2024,All households,Education,High School,28332,6150,21.7,33.5,2219,7.8,30.8
2024,All households,Education,Some College,35148,6421,18.3,35,2661,7.6,36.9
2024,All households,Education,College or more,64545,3935,6.1,21.5,1527,2.4,21.2
2024,All households,Disability status,Not in labor force due to disability,10611,3700,34.9,20.2,1740,16.4,24.2
2024,All households,Disability status,Other disability among adults 18-64,8854,2416,27.3,13.2,1207,13.6,16.8
2024,All households,Disability status,Other disability among adults 65+,12809,1501,11.7,8.2,578,4.5,8
2024,All households,Disability status,No adult with disabilities,101788,10724,10.5,58.5,3678,3.6,51.1
