Country,Status
Albania,Ally
Algeria,Ally
American Samoa,Ally
Argentina,Ally
Armenia,Ally
Australia,Ally
Austria,Ally
Azerbaijan,Ally
Bahrain,Ally
Belgium,Ally
Bermuda,Ally
Bosnia and Herzegovina,Ally
Brazil,Ally
British Virgin Islands,Ally
Bulgaria,Ally
Canada,Ally
Cayman Islands,Ally
Colombia,Ally
Cook Islands,Ally
Costa Rica,Ally
Croatia,Ally
Curacao,Ally
Czechia,Ally
Denmark,Ally
Egypt,Ally
Estonia,Ally
Falkland Islands,Ally
Faroe Islands,Ally
Fiji,Ally
Finland,Ally
France,Ally
French Guiana,Ally
French Polynesia,Ally
Georgia,Ally
Germany,Ally
Gibraltar,Ally
Greece,Ally
Greenland,Ally
Hungary,Ally
Iceland,Ally
Iraq,Ally
Ireland,Ally
Isle of Man,Ally
Israel,Ally
Italy,Ally
Japan,Ally
Jersey,Ally
Jordan,Ally
Kazakhstan,Ally
Kenya,Ally
Kuwait,Ally
Kyrgyzstan,Ally
Latvia,Ally
Lithuania,Ally
Luxembourg,Ally
Malaysia,Ally
Malta,Ally
Mauritania,Ally
Mexico,Ally
Micronesia,Ally
Moldova,Ally
Mongolia,Ally
Montenegro,Ally
Morocco,Ally
Netherlands,Ally
New Caledonia,Ally
New Zealand,Ally
Niue,Ally
North Macedonia,Ally
Northern Mariana Islands,Ally
Norway,Ally
Pakistan,Ally
Peru,Ally
Philippines,Ally
Poland,Ally
Portugal,Ally
Puerto Rico,Ally
Qatar,Ally
Reunion,Ally
Romania,Ally
Saudi Arabia,Ally
Serbia,Ally
Singapore,Ally
Slovakia,Ally
Slovenia,Ally
Solomon Islands,Ally
South Korea,Ally
Spain,Ally
Sweden,Ally
Switzerland,Ally
Taiwan,Ally
Tajikistan,Ally
Thailand,Ally
Tunisia,Ally
Turkey,Ally
Turkmenistan,Ally
Ukraine,Ally
United Arab Emirates,Ally
United Kingdom,Ally
Uzbekistan,Ally
Wallis and Futuna,Ally
